400 4.13931 3.03954 5.77908 2.21742 7.78243
500 2.22725 1.60616 3.10313 1.19661 4.17495
750 0.702176 0.506218 0.978122 0.377399 1.31594
1000 0.568022 0.408754 0.793268 0.304519 1.07262
1250 0.542907 0.385506 0.766643 0.285511 1.04773
1500 0.564752 0.400539 0.805445 0.295228 1.11116
1750 0.451069 0.314925 0.656474 0.229808 0.928911
2000 0.608403 0.424028 0.891188 0.308259 1.26967
2250 0.950141 0.650787 1.42161 0.470093 2.08307
2500 1.57965 1.07334 2.37962 0.766865 3.49574
3000 1.76353 1.23754 2.55309 0.902258 3.59235
