400 0.816912 0.588427 1.13736 0.438259 1.52589
500 0.654135 0.470895 0.910702 0.350629 1.22212
600 0.483702 0.348349 0.674013 0.25934 0.904732
700 0.401595 0.288928 0.559659 0.215115 0.7517
800 0.431172 0.310176 0.601168 0.230854 0.807836
900 0.453012 0.325687 0.631942 0.242158 0.849947
1000 0.559014 0.401741 0.780889 0.298795 1.05166
1200 0.782572 0.560576 1.09808 0.415975 1.48736
1400 1.00977 0.719144 1.42793 0.531865 1.95185
1600 1.3871 0.982304 1.97826 0.723233 2.73041
1800 1.25358 0.8818 1.80177 0.647486 2.51208
2000 1.88417 1.31206 2.74657 0.956935 3.89421
2500 4.01145 2.82614 5.75543 2.07437 7.99001
