400 3.43306 2.49258 4.78876 1.84418 6.50581
500 2.12055 1.53113 2.95412 1.12997 3.90018
750 0.533756 0.38403 0.744632 0.285159 1.00906
1000 0.195326 0.140933 0.287066 0.104677 0.366664
1250 0.094185 0.0672799 0.135294 0.0495382 0.18816
1500 0.0832904 0.0483378 0.109764 0.0353494 0.167845
1750 0.0472712 0.0323814 0.0768391 0.0226612 0.12253
2000 0.0337468 0.0221197 0.0539594 0.0156923 0.0869348
2250 0.0238302 0.0157643 0.038388 0.0111181 0.061873
2500 0.0218316 0.013914 0.0334964 0.00989187 0.0542315
3000 0.0144108 0.00935699 0.0237425 0.00651471 0.0403997
