400 0.808743 0.581749 1.1263 0.433258 1.51146
500 0.634682 0.456799 0.884813 0.339844 1.18806
600 0.451662 0.324769 0.629222 0.241787 0.844659
700 0.286754 0.206281 0.399871 0.153468 0.537412
800 0.164837 0.118471 0.230146 0.0880377 0.309645
900 0.11199 0.0804717 0.156421 0.0597866 0.210503
1000 0.0843035 0.0605316 0.117765 0.0449954 0.158604
1200 0.0511555 0.036692 0.0715694 0.0272611 0.096586
1400 0.0357123 0.0255809 0.050075 0.0189953 0.0677652
1600 0.0263288 0.0188338 0.0370076 0.0139544 0.0502202
1800 0.020225 0.0144246 0.0285585 0.0106641 0.0389566
2000 0.0158325 0.0112471 0.0224512 0.00830008 0.0307834
2500 0.0107345 0.00754688 0.0154319 0.00553087 0.0214859
