400 51.5142 35.1072 60.724 25.1168 60.724
500 15.513 10.7664 22.7476 7.84821 27.5
750 1.14375 0.812056 1.6282 0.599773 2.25023
1000 0.232127 0.16659 0.324226 0.123753 0.436739
1250 0.0986427 0.069702 0.141255 0.0513175 0.196454
1500 0.0746196 0.0503884 0.114298 0.0360361 0.173349
1750 0.0508764 0.0330063 0.0832564 0.0230835 0.139791
2000 0.0357507 0.0232576 0.0582039 0.0162769 0.0963926
2250 0.0251923 0.0163721 0.0412645 0.011461 0.0691456
2500 0.0224117 0.0145451 0.0367925 0.0101827 0.0619117
3000 0.0153051 0.00977969 0.0258144 0.00677631 0.0455336
