400 11.1156 7.82506 15.8936 5.73463 21.8876
500 4.88883 3.31212 7.38824 2.37318 10.8597
600 3.87486 2.72855 5.55168 2.00064 7.64978
700 1.77991 1.26223 2.54772 0.931496 3.61661
800 0.502794 0.359345 0.707557 0.266746 0.961696
900 0.290841 0.210453 0.402328 0.157004 0.5365
1000 0.173265 0.124365 0.24227 0.0922024 0.326719
1200 0.0878497 0.0621633 0.12546 0.045782 0.173754
1400 0.0716562 0.0490726 0.107273 0.0353769 0.157641
1600 0.0584755 0.0385286 0.0931629 0.0271216 0.148483
1800 0.0390347 0.0255978 0.0626817 0.0180126 0.101416
2000 0.026988 0.0176471 0.0434993 0.0124108 0.0709437
2500 0.0167809 0.0108408 0.0276565 0.007579 0.0465846
